Student#,Name,Email,Major,Lvl,Opt,Unts,Notes
1234612,"SONYA, BRACKENS",BRACKENSS@UCI.EDU,IN4MATX,SR,GR,4
1234613,"KATHLINE, SINCLAIR",SINCLAIRK@UCI.EDU,IN4MATX,SR,GR,4
1234614,"SABINA, BOTH",BOTHS@UCI.EDU,IN4MATX,SR,GR,4
1234615,"LORRIANE, MOSQUERA",MOSQUERAL@UCI.EDU,SW ENGR,SR,GR,4
1234616,"JAMAL, BRAUN",BRAUNJ@UCI.EDU,IN4MATX,SR,GR,4
1234617,"PHYLIS, JESSE",JESSEP@UCI.EDU,IN4MATX,JR,GR,4
1234618,"MARGET, DUREN",DURENM@UCI.EDU,IN4MATX,SR,GR,4
1234619,"SATURNINA, GOLDSTEIN",GOLDSTEINS@UCI.EDU,IN4MATX,SR,GR,4
1234620,"JOSELYN, BRISKI",BRISKIJ@UCI.EDU,BUSECON,SR,GR,4
1234621,"DIEDRE, ORTEGON",ORTEGOND@UCI.EDU,CSE+SW ENGR,SR,GR,4
1234622,"DAWNE, MCLENDON",MCLENDOND@UCI.EDU,IN4MATX,SR,GR,4
1234623,"ALLEN, HOY",HOYA@UCI.EDU,IN4MATX,SR,GR,4
1234624,"SIMA, HERRINGTON",HERRINGTONS@UCI.EDU,IN4MATX,JR,GR,4
1234625,"NEVA, PULLINS",PULLINSN@UCI.EDU,IN4MATX,SR,GR,4
1234626,"MARIAN, KOVAC",KOVACM@UCI.EDU,IN4MATX,SR,GR,4
1234627,"MAGDALEN, BRASWELL",BRASWELLM@UCI.EDU,IN4MATX,SR,GR,4
1234628,"MARIO, CALEY",CALEYM@UCI.EDU,IN4MATX,JR,GR,4
1234629,"VALERIA, MELL",MELLV@UCI.EDU,IN4MATX,SR,GR,4
1234630,"WALLY, MCCURDY",MCCURDYW@UCI.EDU,IN4MATX,SR,GR,4
1234631,"JACOB, WINES",WINESJ@UCI.EDU,IN4MATX,JR,GR,4
"Total: 65 students listed above for this course on Sunday, May 25, 2014."
